Using Newton-Raphson.
t=0.100, dt=0.1, MaxDpr=658.406, MaxDsw=0.00311111, Qo=346.53, Qw=0.00, Gauss=3
t=19.888, dt=0.178577, MaxDpr=0.816821, MaxDsw=0.00125029, Qo=346.53, Qw=0.00, Gauss=729
t=20.103, dt=0.214293, MaxDpr=0.965182, MaxDsw=0.00146397, Qo=346.53, Qw=0.00, Gauss=732
t=20.231, dt=0.128576, MaxDpr=0.575641, MaxDsw=0.000865517, Qo=346.53, Qw=0.00, Gauss=738
t=20.386, dt=0.154291, MaxDpr=0.681486, MaxDsw=0.00102047, Qo=346.53, Qw=0.00, Gauss=741
t=20.571, dt=0.185149, MaxDpr=0.803645, MaxDsw=0.00119908, Qo=346.53, Qw=0.00, Gauss=744
t=20.793, dt=0.222179, MaxDpr=0.942861, MaxDsw=0.00145154, Qo=346.53, Qw=0.00, Gauss=747
t=20.926, dt=0.133307, MaxDpr=0.559192, MaxDsw=0.000880779, Qo=346.53, Qw=0.00, Gauss=753
t=21.086, dt=0.159969, MaxDpr=0.658826, MaxDsw=0.00107066, Qo=346.53, Qw=0.00, Gauss=756
t=21.278, dt=0.191962, MaxDpr=0.772566, MaxDsw=0.00130376, Qo=346.53, Qw=0.00, Gauss=759
t=21.509, dt=0.230355, MaxDpr=0.900492, MaxDsw=0.0015905, Qo=346.53, Qw=0.00, Gauss=762
t=21.647, dt=0.138213, MaxDpr=0.531348, MaxDsw=0.000963315, Qo=346.53, Qw=0.00, Gauss=768
t=21.813, dt=0.165855, MaxDpr=0.623217, MaxDsw=0.00116848, Qo=346.53, Qw=0.00, Gauss=771
t=22.012, dt=0.199027, MaxDpr=0.726964, MaxDsw=0.00141935, Qo=346.53, Qw=0.00, Gauss=774
t=22.250, dt=0.238832, MaxDpr=0.842105, MaxDsw=0.00172659, Qo=346.53, Qw=0.00, Gauss=777
t=22.537, dt=0.286598, MaxDpr=0.966908, MaxDsw=0.00210326, Qo=346.53, Qw=0.00, Gauss=780
t=22.709, dt=0.171959, MaxDpr=0.564418, MaxDsw=0.00127265, Qo=346.53, Qw=0.00, Gauss=787
t=22.915, dt=0.206351, MaxDpr=0.654523, MaxDsw=0.00154176, Qo=346.53, Qw=0.00, Gauss=790
t=23.163, dt=0.247621, MaxDpr=0.752934, MaxDsw=0.00186973, Qo=346.53, Qw=0.00, Gauss=793
t=23.460, dt=0.297145, MaxDpr=0.857405, MaxDsw=0.00226965, Qo=346.53, Qw=0.00, Gauss=796
t=23.817, dt=0.356574, MaxDpr=0.963909, MaxDsw=0.00275717, Qo=346.53, Qw=0.00, Gauss=800
t=24.031, dt=0.213944, MaxDpr=0.554149, MaxDsw=0.00166539, Qo=346.53, Qw=0.00, Gauss=807
t=24.287, dt=0.256733, MaxDpr=0.63235, MaxDsw=0.00201309, Qo=346.53, Qw=0.00, Gauss=810
t=24.595, dt=0.30808, MaxDpr=0.713167, MaxDsw=0.0024345, Qo=346.53, Qw=0.00, Gauss=813
t=24.965, dt=0.369696, MaxDpr=0.792532, MaxDsw=0.00294471, Qo=346.53, Qw=0.00, Gauss=817
t=25.409, dt=0.443635, MaxDpr=0.864473, MaxDsw=0.00356096, Qo=346.53, Qw=0.00, Gauss=821
t=25.675, dt=0.266181, MaxDpr=0.49862, MaxDsw=0.00214467, Qo=346.53, Qw=0.00, Gauss=828
t=25.994, dt=0.319417, MaxDpr=0.61014, MaxDsw=0.00258301, Qo=346.53, Qw=0.00, Gauss=831
t=26.378, dt=0.383301, MaxDpr=0.748002, MaxDsw=0.00310936, Qo=346.53, Qw=0.00, Gauss=835
t=26.838, dt=0.459961, MaxDpr=0.918118, MaxDsw=0.00373887, Qo=346.53, Qw=0.00, Gauss=839
t=27.114, dt=0.275977, MaxDpr=0.558841, MaxDsw=0.0022442, Qo=346.53, Qw=0.00, Gauss=846
t=27.445, dt=0.331172, MaxDpr=0.67862, MaxDsw=0.00269197, Qo=346.53, Qw=0.00, Gauss=849
t=27.842, dt=0.397406, MaxDpr=0.823642, MaxDsw=0.00322481, Qo=346.53, Qw=0.00, Gauss=853
t=28.319, dt=0.476888, MaxDpr=0.997477, MaxDsw=0.00385494, Qo=346.53, Qw=0.00, Gauss=857
t=28.605, dt=0.286133, MaxDpr=0.59977, MaxDsw=0.00230556, Qo=346.53, Qw=0.00, Gauss=864
t=28.949, dt=0.343359, MaxDpr=0.719711, MaxDsw=0.0027535, Qo=346.53, Qw=0.00, Gauss=867
t=29.361, dt=0.412031, MaxDpr=0.859912, MaxDsw=0.00328096, Qo=346.53, Qw=0.00, Gauss=871
t=29.608, dt=0.247219, MaxDpr=0.511487, MaxDsw=0.00195889, Qo=346.53, Qw=0.00, Gauss=878
t=29.904, dt=0.296662, MaxDpr=0.608037, MaxDsw=0.00233515, Qo=346.53, Qw=0.00, Gauss=881
t=30.260, dt=0.355995, MaxDpr=0.718599, MaxDsw=0.00277721, Qo=346.53, Qw=0.00, Gauss=884
t=30.688, dt=0.427194, MaxDpr=0.841443, MaxDsw=0.00329227, Qo=346.53, Qw=0.00, Gauss=888
t=31.200, dt=0.512632, MaxDpr=0.971161, MaxDsw=0.00388529, Qo=346.53, Qw=0.00, Gauss=892
t=31.508, dt=0.307579, MaxDpr=0.557879, MaxDsw=0.00230533, Qo=346.53, Qw=0.00, Gauss=899
t=31.877, dt=0.369095, MaxDpr=0.641262, MaxDsw=0.00272672, Qo=346.53, Qw=0.00, Gauss=902
t=32.320, dt=0.442914, MaxDpr=0.723811, MaxDsw=0.003211, Qo=346.53, Qw=0.00, Gauss=906
t=32.851, dt=0.531497, MaxDpr=0.795037, MaxDsw=0.00380544, Qo=346.53, Qw=0.00, Gauss=910
t=33.489, dt=0.637797, MaxDpr=0.836839, MaxDsw=0.00450012, Qo=346.53, Qw=0.00, Gauss=914
t=33.872, dt=0.382678, MaxDpr=0.462063, MaxDsw=0.00267141, Qo=346.53, Qw=0.00, Gauss=921
t=34.331, dt=0.459214, MaxDpr=0.597136, MaxDsw=0.00315918, Qo=346.53, Qw=0.00, Gauss=925
t=34.882, dt=0.551056, MaxDpr=0.778235, MaxDsw=0.00371584, Qo=346.53, Qw=0.00, Gauss=929
t=35.213, dt=0.330634, MaxDpr=0.505778, MaxDsw=0.00219994, Qo=346.53, Qw=0.00, Gauss=936
t=35.610, dt=0.396761, MaxDpr=0.637386, MaxDsw=0.00259491, Qo=346.53, Qw=0.00, Gauss=939
t=36.086, dt=0.476113, MaxDpr=0.805869, MaxDsw=0.00304542, Qo=346.53, Qw=0.00, Gauss=943
t=36.371, dt=0.285668, MaxDpr=0.509068, MaxDsw=0.00180145, Qo=346.53, Qw=0.00, Gauss=950
t=36.714, dt=0.342801, MaxDpr=0.628595, MaxDsw=0.00212363, Qo=346.53, Qw=0.00, Gauss=953
t=37.125, dt=0.411361, MaxDpr=0.776707, MaxDsw=0.00249214, Qo=346.53, Qw=0.00, Gauss=956
t=37.619, dt=0.493634, MaxDpr=0.958815, MaxDsw=0.00290798, Qo=346.53, Qw=0.00, Gauss=960
t=37.915, dt=0.29618, MaxDpr=0.593557, MaxDsw=0.00171446, Qo=346.53, Qw=0.00, Gauss=967
t=38.271, dt=0.355416, MaxDpr=0.720601, MaxDsw=0.0020135, Qo=346.53, Qw=0.00, Gauss=970
t=38.697, dt=0.426499, MaxDpr=0.872814, MaxDsw=0.002353, Qo=346.53, Qw=0.00, Gauss=973
t=38.953, dt=0.2559, MaxDpr=0.532036, MaxDsw=0.00138894, Qo=346.53, Qw=0.00, Gauss=980
t=39.260, dt=0.30708, MaxDpr=0.638968, MaxDsw=0.00163398, Qo=346.53, Qw=0.00, Gauss=983
t=39.629, dt=0.368496, MaxDpr=0.76548, MaxDsw=0.00191405, Qo=346.53, Qw=0.00, Gauss=986
t=40.071, dt=0.442195, MaxDpr=0.913226, MaxDsw=0.00223055, Qo=346.53, Qw=0.00, Gauss=990
t=40.336, dt=0.265317, MaxDpr=0.549685, MaxDsw=0.00131461, Qo=346.53, Qw=0.00, Gauss=997
t=40.655, dt=0.31838, MaxDpr=0.653587, MaxDsw=0.00154387, Qo=346.53, Qw=0.00, Gauss=1000
t=41.037, dt=0.382056, MaxDpr=0.773718, MaxDsw=0.00180513, Qo=346.53, Qw=0.00, Gauss=1003
t=41.495, dt=0.458467, MaxDpr=0.910537, MaxDsw=0.00209949, Qo=346.53, Qw=0.00, Gauss=1007
t=41.770, dt=0.27508, MaxDpr=0.542216, MaxDsw=0.00125988, Qo=346.53, Qw=0.00, Gauss=1014
t=42.100, dt=0.330097, MaxDpr=0.638851, MaxDsw=0.00154149, Qo=346.53, Qw=0.00, Gauss=1017
t=42.496, dt=0.396116, MaxDpr=0.748338, MaxDsw=0.00189042, Qo=346.53, Qw=0.00, Gauss=1020
t=42.972, dt=0.475339, MaxDpr=0.870104, MaxDsw=0.00232372, Qo=346.53, Qw=0.00, Gauss=1024
t=43.257, dt=0.285203, MaxDpr=0.513301, MaxDsw=0.00141315, Qo=346.53, Qw=0.00, Gauss=1031
t=43.599, dt=0.342244, MaxDpr=0.599909, MaxDsw=0.00172177, Qo=346.53, Qw=0.00, Gauss=1034
t=44.010, dt=0.410693, MaxDpr=0.696166, MaxDsw=0.00210135, Qo=346.53, Qw=0.00, Gauss=1037
t=44.503, dt=0.492831, MaxDpr=0.800799, MaxDsw=0.00256886, Qo=346.53, Qw=0.00, Gauss=1041
t=45.094, dt=0.591398, MaxDpr=0.910096, MaxDsw=0.00314423, Qo=346.53, Qw=0.00, Gauss=1045
