            True	          Spline	         eSpline	          Linear	         eLinear
      226.833822	     229.5187391	    -2.684917076	      227.341764	       -0.507942
      351.605541	     357.7615242	    -6.155983182	     338.1687485	      13.4367925
      417.509537	     418.4518338	   -0.9422968182	     438.0446095	     -20.5350725
      256.074202	     262.4676614	    -6.393459369	     260.6105777	    -4.536375667
      370.807198	     375.3733568	    -4.566158818	     358.6596035	      12.1475945
      430.470497	     431.8220432	    -1.351546182	     448.5357965	     -18.0652995
      156.723111	     149.3568956	     7.366215384	     147.2504973	     9.472613667
      302.256612	     305.3596125	    -3.103000545	      286.402028	       15.854584
       396.53546	     406.6390555	    -10.10359545	       425.59664	       -29.06118
      183.269404	     174.5240962	     8.745307778	     172.4498213	     10.81958267
      317.480811	       321.58723	       -4.106419	      302.918756	       14.562055
      405.120567	      412.574814	       -7.454247	      431.243288	      -26.122721
      210.379492	     201.1500561	     9.229435939	      199.113479	       11.266013
      335.308413	     340.0590935	    -4.750680545	        321.7299	       13.578513
      416.580182	     422.0845725	    -5.504390455	      440.413766	      -23.833584
      388.027535	     399.2634825	    -11.23594755	      400.328407	      -12.300872
      399.052554	     392.4572939	     6.595260091	      402.041614	        -2.98906
       434.50001	     437.3385481	    -2.838538091	      427.754228	        6.745782
       408.77708	     415.6197343	    -6.842654288	      416.303738	       -7.526658
      418.097297	     414.3733691	     3.723927909	     420.5294025	      -2.4321055
      447.720509	     447.3677369	    0.3527720909	     441.2117035	       6.5088055
      425.259647	      429.161975	     -3.90232804	     429.5975023	    -4.337855333
       434.56691	     432.6193274	     1.947582636	      436.539073	       -1.972163
      461.195959	     459.2958466	     1.900112364	      455.376101	        5.819858
      201.395222	      197.894471	     3.500751045	      195.411497	        5.983725
      338.828616	     346.1783401	    -7.349724091	     323.8315745	      14.9970415
      416.252742	     418.0861519	    -1.833409909	     440.4329175	     -24.1801755
      234.598798	     238.7241591	    -4.125361126	     236.8409027	    -2.242104667
      357.724182	     361.7268396	    -4.002657636	     344.7775315	      12.9466505
      427.040639	     430.3120864	    -3.271447364	     447.2613945	     -20.2207555
       263.24615	     272.2425573	    -8.996407288	      270.737809	       -7.491659
      377.014895	     378.7320181	    -1.717123091	     365.1892835	      11.8256115
      440.061074	     444.4773859	    -4.416311909	     458.0201205	     -17.9590465
      163.083751	     154.5594495	       8.5243015	      152.350018	       10.733733
      307.568316	      313.195336	        -5.62702	     293.3104525	      14.2578635
      405.336031	      412.765322	       -7.429291	     432.6502055	     -27.3141745
       190.26327	     180.2533431	     10.00992695	     178.1250137	     12.13825633
      322.757288	     328.8934765	    -6.136188455	      309.738512	       13.018776
       413.94002	     419.2449655	    -5.304945545	       438.39993	       -24.45991
      217.721307	     207.2324929	     10.48881409	     205.1870537	     12.53425333
      340.519531	     346.8213897	    -6.301858727	     328.4124365	      12.1070945
      425.401602	     429.3043303	    -3.902728273	     447.7132835	     -22.3116815
      397.090102	       409.93534	    -12.84523797	      411.125357	      -14.035255
      407.978888	     400.4910057	     7.487882273	      411.201159	       -3.222271
      444.759367	     448.1927563	    -3.433389273	      437.482603	        7.276764
      417.843836	     426.4071678	    -8.563331828	     427.2235633	    -9.379727333
      427.186367	     422.4558815	     4.730485545	      429.803441	       -2.617074
