x        fx         fpx 
13.3464  -1.97478  -0.92836
13.3568  -1.98159  -0.928446
13.3672  -1.98841  -0.928531
13.3776  -1.99523  -0.928617
13.388  -2.00204  -0.928702
13.3984  -2.00886  -0.928786
13.4088  -2.01568  -0.928871
13.4192  -2.02251  -0.928955
13.4296  -2.02933  -0.929039
13.44  -2.03615  -0.929123
13.4504  -2.04298  -0.929207
13.4608  -2.0498  -0.92929
13.4712  -2.05663  -0.929373
13.4816  -2.06346  -0.929456
13.492  -2.07029  -0.929538
13.5024  -2.07712  -0.929621
13.5128  -2.08395  -0.929703
13.5232  -2.09078  -0.929784
13.5336  -2.09762  -0.929866
13.544  -2.10445  -0.929947
13.5544  -2.11129  -0.930029
13.5648  -2.11812  -0.930109
13.5752  -2.12496  -0.93019
13.5856  -2.1318  -0.930271
13.596  -2.13864  -0.930351
13.6064  -2.14548  -0.930431
13.6168  -2.15233  -0.930511
13.6272  -2.15917  -0.93059
13.6376  -2.16601  -0.930669
13.648  -2.17286  -0.930748
13.6584  -2.17971  -0.930827
13.6688  -2.18656  -0.930906
13.6792  -2.19341  -0.930984
13.6896  -2.20026  -0.931063
13.7  -2.20711  -0.931141
13.7104  -2.21396  -0.931218
13.7208  -2.22081  -0.931296
13.7312  -2.22767  -0.931373
13.7416  -2.23453  -0.931451
13.752  -2.24138  -0.931528
13.7624  -2.24824  -0.931604
13.7728  -2.2551  -0.931681
13.7832  -2.26196  -0.931757
13.7936  -2.26882  -0.931833
13.804  -2.27569  -0.931909
13.8144  -2.28255  -0.931985
13.8248  -2.28942  -0.93206
13.8352  -2.29628  -0.932136
13.8456  -2.30315  -0.932211
13.856  -2.31002  -0.932286
13.8664  -2.31689  -0.93236
13.8768  -2.32376  -0.932435
13.8872  -2.33063  -0.932509
13.8976  -2.33751  -0.932583
13.908  -2.34438  -0.932657
13.9184  -2.35126  -0.932731
13.9288  -2.35813  -0.932805
13.9392  -2.36501  -0.932878
13.9496  -2.37189  -0.932951
13.96  -2.37877  -0.933024
13.9704  -2.38565  -0.933097
13.9808  -2.39253  -0.93317
13.9912  -2.39942  -0.933242
14.0016  -2.4063  -0.933314
14.012  -2.41319  -0.933387
14.0224  -2.42008  -0.933458
14.0328  -2.42696  -0.93353
14.0432  -2.43385  -0.933602
14.0536  -2.44074  -0.933673
14.064  -2.44764  -0.933744
14.0744  -2.45453  -0.933815
14.0848  -2.46142  -0.933886
14.0952  -2.46832  -0.933957
14.1056  -2.47522  -0.934027
14.116  -2.48211  -0.934097
14.1264  -2.48901  -0.934168
14.1368  -2.49591  -0.934237
14.1472  -2.50281  -0.934307
14.1576  -2.50971  -0.934377
14.168  -2.51662  -0.934446
14.1784  -2.52352  -0.934516
14.1888  -2.53043  -0.934585
14.1992  -2.53734  -0.934654
14.2096  -2.54424  -0.934722
14.22  -2.55115  -0.934791
14.2304  -2.55806  -0.934859
14.2408  -2.56497  -0.934928
14.2512  -2.57189  -0.934996
14.2616  -2.5788  -0.935064
14.272  -2.58572  -0.935132
14.2824  -2.59263  -0.935199
14.2928  -2.59955  -0.935267
14.3032  -2.60647  -0.935334
14.3136  -2.61339  -0.935401
14.324  -2.62031  -0.935468
14.3344  -2.62723  -0.935535
14.3448  -2.63415  -0.935602
14.3552  -2.64108  -0.935668
14.3656  -2.648  -0.935734
14.376  -2.65493  -0.935801
14.3864  -2.66186  -0.935867
14.3968  -2.66879  -0.935933
14.4072  -2.67572  -0.935998
14.4176  -2.68265  -0.936064
14.428  -2.68958  -0.936129
14.4384  -2.69652  -0.936195
14.4488  -2.70345  -0.93626
14.4592  -2.71039  -0.936325
14.4696  -2.71732  -0.93639
14.48  -2.72426  -0.936454
14.4904  -2.7312  -0.936519
14.5008  -2.73814  -0.936583
14.5112  -2.74508  -0.936648
14.5216  -2.75203  -0.936712
14.532  -2.75897  -0.936776
14.5424  -2.76592  -0.936839
14.5528  -2.77286  -0.936903
14.5632  -2.77981  -0.936967
14.5736  -2.78676  -0.93703
14.584  -2.79371  -0.937093
14.5944  -2.80066  -0.937156
14.6048  -2.80761  -0.937219
14.6152  -2.81457  -0.937282
14.6256  -2.82152  -0.937345
14.636  -2.82848  -0.937407
14.6464  -2.83543  -0.93747
14.6568  -2.84239  -0.937532
14.6672  -2.84935  -0.937594
14.6776  -2.85631  -0.937656
14.688  -2.86327  -0.937718
14.6984  -2.87024  -0.93778
14.7088  -2.8772  -0.937842
14.7192  -2.88417  -0.937903
14.7296  -2.89113  -0.937964
14.74  -2.8981  -0.938026
14.7504  -2.90507  -0.938087
14.7608  -2.91204  -0.938148
14.7712  -2.91901  -0.938208
14.7816  -2.92598  -0.938269
14.792  -2.93296  -0.93833
14.8024  -2.93993  -0.93839
14.8128  -2.94691  -0.93845
14.8232  -2.95388  -0.938511
14.8336  -2.96086  -0.938571
14.844  -2.96784  -0.93863
14.8544  -2.97482  -0.93869
14.8648  -2.9818  -0.93875
14.8752  -2.98879  -0.938809
